name,address,city,state,zipCode,phoneNumber,email,totalBeds,availableBeds,description
Neighborhood Shelter - San Jose Shelter North,7394 Cedar St,San Jose,CA,71978,565-345-8171,contact189@shelter.org,84,23,Scraped-style dataset with room availability restored.
Faith Shelter - Baltimore Program,5349 3rd St,Baltimore,MD,25089,622-530-3551,contact190@shelter.org,61,2,Scraped-style dataset with room availability restored.
City Shelter - Houston Services East,675 3rd St,Houston,TX,18681,971-832-1467,contact191@shelter.org,120,1,Scraped-style dataset with room availability restored.
Salvation Army - San Diego Program North,5453 Oak St,San Diego,CA,91558,232-224-6032,contact192@shelter.org,108,12,Scraped-style dataset with room availability restored.
Hope Center - San Diego Center West,407 Maple St,San Diego,CA,90809,528-963-8013,contact193@shelter.org,53,14,Scraped-style dataset with room availability restored.
Hope Center - Portland Services South,7311 Cedar St,Portland,OR,63512,383-755-1058,contact194@shelter.org,51,5,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Chicago Center,4224 Elm St,Chicago,IL,94717,427-728-4746,contact195@shelter.org,83,28,Scraped-style dataset with room availability restored.
Rescue Mission - Austin Center,7005 2nd St,Austin,TX,42636,903-587-1830,contact196@shelter.org,59,17,Scraped-style dataset with room availability restored.
Open Door Mission - Baltimore Center West,6185 Market St,Baltimore,MD,89385,280-751-1967,contact197@shelter.org,31,10,Scraped-style dataset with room availability restored.
Transitional Housing Program - Indianapolis Shelter,4433 3rd St,Indianapolis,IN,20646,995-558-8413,contact198@shelter.org,53,0,Scraped-style dataset with room availability restored.
Community Shelter - Philadelphia Program North,512 Oak St,Philadelphia,PA,67407,554-259-7735,contact199@shelter.org,43,18,Scraped-style dataset with room availability restored.
Transitional Housing Program - Chicago Center West,8546 Walnut St,Chicago,IL,86348,769-437-6202,contact200@shelter.org,91,8,Scraped-style dataset with room availability restored.
Rescue Mission - Houston Mission East,7828 2nd St,Houston,TX,27534,390-216-8382,contact201@shelter.org,84,18,Scraped-style dataset with room availability restored.
Safe Haven - Chicago Services South,7981 Elm St,Chicago,IL,93333,962-930-2278,contact202@shelter.org,15,0,Scraped-style dataset with room availability restored.
Emergency Housing Center - Baltimore Shelter,1589 Oak St,Baltimore,MD,98363,371-233-9487,contact203@shelter.org,107,5,Scraped-style dataset with room availability restored.
Rescue Mission - Phoenix Shelter South,3295 Oak St,Phoenix,AZ,27156,681-652-5197,contact204@shelter.org,38,14,Scraped-style dataset with room availability restored.
Union Gospel Mission - Denver Center,391 Oak St,Denver,CO,58402,544-765-3533,contact205@shelter.org,114,3,Scraped-style dataset with room availability restored.
Neighborhood Shelter - San Diego Services West,2239 Market St,San Diego,CA,13540,680-414-2869,contact206@shelter.org,64,21,Scraped-style dataset with room availability restored.
Community Shelter - Columbus Program,4584 Pine St,Columbus,OH,78060,381-409-7923,contact207@shelter.org,33,4,Scraped-style dataset with room availability restored.
Emergency Housing Center - Austin Center East,7102 Walnut St,Austin,TX,94784,693-328-9571,contact208@shelter.org,98,31,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Seattle Center West,3341 3rd St,Seattle,WA,76637,421-895-4733,contact209@shelter.org,119,5,Scraped-style dataset with room availability restored.
Transitional Housing Program - Columbus Program North,4767 2nd St,Columbus,OH,72787,402-923-5627,contact210@shelter.org,68,17,Scraped-style dataset with room availability restored.
Salvation Army - Chicago Mission North,1566 Market St,Chicago,IL,88485,588-313-1025,contact211@shelter.org,118,16,Scraped-style dataset with room availability restored.
Faith Shelter - Jacksonville Services,1787 Main St,Jacksonville,FL,76231,348-976-8393,contact212@shelter.org,40,4,Scraped-style dataset with room availability restored.
Faith Shelter - Indianapolis Services West,8450 2nd St,Indianapolis,IN,94039,853-927-2920,contact213@shelter.org,88,9,Scraped-style dataset with room availability restored.
Emergency Housing Center - Detroit Center North,1128 3rd St,Detroit,MI,45130,291-540-4893,contact214@shelter.org,103,40,Scraped-style dataset with room availability restored.
Rescue Mission - Philadelphia Mission West,6588 Oak St,Philadelphia,PA,52120,898-312-4716,contact215@shelter.org,35,0,Scraped-style dataset with room availability restored.
Family Shelter Network - Philadelphia Program South,9262 3rd St,Philadelphia,PA,91727,843-946-3585,contact216@shelter.org,64,27,Scraped-style dataset with room availability restored.
Safe Haven - Washington Center South,6869 Pine St,Washington,DC,22424,663-465-4822,contact217@shelter.org,44,6,Scraped-style dataset with room availability restored.
Salvation Army - Indianapolis Program East,4698 2nd St,Indianapolis,IN,46077,708-525-2297,contact218@shelter.org,67,11,Scraped-style dataset with room availability restored.
Veterans Outreach - Philadelphia Shelter,6401 3rd St,Philadelphia,PA,39497,728-721-2509,contact219@shelter.org,48,21,Scraped-style dataset with room availability restored.
City Shelter - Phoenix Center North,8179 Main St,Phoenix,AZ,50656,368-702-8602,contact220@shelter.org,108,7,Scraped-style dataset with room availability restored.
Veterans Outreach - Los Angeles Mission North,9813 Maple St,Los Angeles,CA,21912,949-764-4799,contact221@shelter.org,57,21,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Los Angeles Mission East,6124 Maple St,Los Angeles,CA,87126,687-293-1377,contact222@shelter.org,34,14,Scraped-style dataset with room availability restored.
Rescue Mission - Jacksonville Services,6918 2nd St,Jacksonville,FL,71924,935-466-3715,contact223@shelter.org,53,15,Scraped-style dataset with room availability restored.
Transitional Housing Program - New York Shelter,811 Cedar St,New York,NY,45755,503-336-5284,contact224@shelter.org,101,31,Scraped-style dataset with room availability restored.
Emergency Housing Center - Boston Shelter North,6136 Pine St,Boston,MA,99402,809-745-7223,contact225@shelter.org,59,3,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Boston Services East,3019 Pine St,Boston,MA,80494,551-797-9826,contact226@shelter.org,19,2,Scraped-style dataset with room availability restored.
Transitional Housing Program - Columbus Program East,1917 Elm St,Columbus,OH,48820,470-259-6310,contact227@shelter.org,22,2,Scraped-style dataset with room availability restored.
Family Shelter Network - Indianapolis Center East,8303 3rd St,Indianapolis,IN,42799,369-247-7328,contact228@shelter.org,57,8,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Nashville Mission,669 Broad St,Nashville,TN,42483,497-558-1893,contact229@shelter.org,72,16,Scraped-style dataset with room availability restored.
City Shelter - Nashville Center North,7990 Broad St,Nashville,TN,24954,314-903-9709,contact230@shelter.org,95,18,Scraped-style dataset with room availability restored.
City Shelter - San Jose Mission North,1729 Walnut St,San Jose,CA,19362,357-963-4989,contact231@shelter.org,60,20,Scraped-style dataset with room availability restored.
Community Shelter - San Antonio Program East,8304 2nd St,San Antonio,TX,42263,814-870-2078,contact232@shelter.org,61,16,Scraped-style dataset with room availability restored.
Rescue Mission - Nashville Shelter,6901 Main St,Nashville,TN,27595,831-732-3754,contact233@shelter.org,74,25,Scraped-style dataset with room availability restored.
Community Shelter - San Francisco Mission North,2773 Walnut St,San Francisco,CA,45622,316-232-8898,contact234@shelter.org,24,2,Scraped-style dataset with room availability restored.
Emergency Housing Center - Austin Shelter West,2988 Main St,Austin,TX,26514,239-426-1321,contact235@shelter.org,88,4,Scraped-style dataset with room availability restored.
Union Gospel Mission - Philadelphia Center,9469 Elm St,Philadelphia,PA,20624,594-612-1132,contact236@shelter.org,51,16,Scraped-style dataset with room availability restored.
Union Gospel Mission - Boston Center South,1807 Main St,Boston,MA,21908,647-716-2336,contact237@shelter.org,78,23,Scraped-style dataset with room availability restored.
Union Gospel Mission - Phoenix Mission North,5425 Main St,Phoenix,AZ,69601,223-517-3704,contact238@shelter.org,95,14,Scraped-style dataset with room availability restored.
Faith Shelter - Charlotte Mission,1087 Walnut St,Charlotte,NC,38163,673-541-3008,contact239@shelter.org,18,7,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Phoenix Center North,9094 Main St,Phoenix,AZ,55427,917-508-8200,contact240@shelter.org,16,7,Scraped-style dataset with room availability restored.
Salvation Army - San Jose Mission West,303 Main St,San Jose,CA,16285,903-457-8847,contact241@shelter.org,37,8,Scraped-style dataset with room availability restored.
Urban Shelter - Denver Shelter West,6938 Broad St,Denver,CO,56540,701-307-4094,contact242@shelter.org,98,22,Scraped-style dataset with room availability restored.
Faith Shelter - Seattle Services West,7492 Maple St,Seattle,WA,79636,211-736-3816,contact243@shelter.org,112,47,Scraped-style dataset with room availability restored.
Urban Shelter - Boston Program,7635 Oak St,Boston,MA,34709,802-621-6327,contact244@shelter.org,63,4,Scraped-style dataset with room availability restored.
Open Door Mission - Philadelphia Mission North,3734 Elm St,Philadelphia,PA,35362,743-626-2044,contact245@shelter.org,49,8,Scraped-style dataset with room availability restored.
Rescue Mission - Jacksonville Services South,2180 Market St,Jacksonville,FL,99689,389-679-9575,contact246@shelter.org,110,33,Scraped-style dataset with room availability restored.
Rescue Mission - Boston Center East,974 Main St,Boston,MA,83187,842-414-4874,contact247@shelter.org,83,2,Scraped-style dataset with room availability restored.
Hope Center - Baltimore Center,6984 Elm St,Baltimore,MD,53919,338-528-1487,contact248@shelter.org,106,7,Scraped-style dataset with room availability restored.
Faith Shelter - Boston Services,7797 Pine St,Boston,MA,99571,326-930-6633,contact249@shelter.org,94,16,Scraped-style dataset with room availability restored.
Neighborhood Shelter - San Antonio Services South,2329 3rd St,San Antonio,TX,63984,738-947-1243,contact250@shelter.org,46,9,Scraped-style dataset with room availability restored.
Rescue Mission - Detroit Program North,6876 Maple St,Detroit,MI,28962,306-660-2868,contact251@shelter.org,73,30,Scraped-style dataset with room availability restored.
Veterans Outreach - Los Angeles Services North,9667 3rd St,Los Angeles,CA,24009,384-809-8874,contact252@shelter.org,30,3,Scraped-style dataset with room availability restored.
Salvation Army - Houston Shelter East,2605 Cedar St,Houston,TX,97035,432-495-7943,contact253@shelter.org,101,25,Scraped-style dataset with room availability restored.
Emergency Housing Center - San Diego Shelter West,2345 Market St,San Diego,CA,32071,230-322-2330,contact254@shelter.org,110,0,Scraped-style dataset with room availability restored.
Union Gospel Mission - Detroit Mission West,1000 Maple St,Detroit,MI,86102,432-981-8866,contact255@shelter.org,27,0,Scraped-style dataset with room availability restored.
Safe Haven - San Francisco Shelter South,6951 Cedar St,San Francisco,CA,98223,535-973-7314,contact256@shelter.org,78,20,Scraped-style dataset with room availability restored.
Union Gospel Mission - Washington Center North,8901 Elm St,Washington,DC,84751,470-809-2333,contact257@shelter.org,33,11,Scraped-style dataset with room availability restored.
Emergency Housing Center - Detroit Shelter North,8364 Main St,Detroit,MI,10869,736-805-6802,contact258@shelter.org,38,4,Scraped-style dataset with room availability restored.
Neighborhood Shelter - San Diego Program East,4272 Main St,San Diego,CA,12702,889-706-4031,contact259@shelter.org,99,44,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Seattle Mission East,7271 Main St,Seattle,WA,90542,578-378-5984,contact260@shelter.org,16,6,Scraped-style dataset with room availability restored.
Rescue Mission - Boston Center South,1110 Pine St,Boston,MA,81699,332-861-4421,contact261@shelter.org,118,7,Scraped-style dataset with room availability restored.
Safe Haven - Los Angeles Center East,1465 Broad St,Los Angeles,CA,28807,641-729-3700,contact262@shelter.org,107,37,Scraped-style dataset with room availability restored.
Salvation Army - Baltimore Shelter South,523 Oak St,Baltimore,MD,40897,254-868-7606,contact263@shelter.org,99,3,Scraped-style dataset with room availability restored.
Veterans Outreach - Chicago Program West,2993 2nd St,Chicago,IL,31737,831-841-8375,contact264@shelter.org,78,6,Scraped-style dataset with room availability restored.
Community Shelter - Austin Shelter West,9909 Broad St,Austin,TX,58821,749-352-2100,contact265@shelter.org,36,7,Scraped-style dataset with room availability restored.
